year,cpi_index,cpi_base_year,median_home_price_nominal,real_median_home_price,real_median_household_income,home_price_to_real_income_ratio,median_home_price_to_median_household_income_ratio,mortgage_rate_annual_avg,case_shiller_index,real_home_price_index,case_shiller_index_first_available,case_shiller_relative_to_cpi,shelter_cpi,transportation_services_cpi
1985,107.60000000000001,2024,84275.0,245696.21743339527,61570.0,3.9905183926164574,3.9905183926164574,12.430192307692307,,132.92404239909104,,,109.76666666666667,110.0
1986,109.69166666666666,2024,92025.0,263174.72115019377,63850.0,4.121765405641249,4.121765405641249,10.187307692307693,,142.38008284364616,,,115.77499999999999,116.27499999999999
1987,113.61666666666667,2024,104700.0,289079.0498753117,64650.0,4.471447020499795,4.471447020499795,10.213396226415094,66.25691666666667,156.3945765373108,100.0,58.3161948070999,121.26666666666667,121.85833333333333
1988,118.27499999999999,2024,112225.0,297651.88547171146,65130.0,4.570119537413042,4.570119537413042,10.341730769230768,71.14166666666667,161.03256394387387,107.37243784611165,60.14936940745438,127.08333333333333,128.025
1989,123.94166666666666,2024,120425.0,304797.4320244739,66240.0,4.60141050761585,4.60141050761585,10.319423076923076,75.50666666666667,164.89837410109192,113.96042928851453,60.92113225307605,132.83333333333334,135.63333333333333
1990,130.65833333333333,2024,122300.0,293630.6074366988,65440.0,4.4870202847906295,4.4870202847906295,10.129423076923077,76.93908333333333,158.857013430283,116.12234194417437,58.88570699661968,139.975,144.17499999999998
1991,136.16666666666666,2024,119975.0,276396.11416768667,63530.0,4.350639291164594,4.350639291164594,9.246538461538462,75.92266666666667,149.53298501035815,114.58828826675958,55.75716034271727,146.275,151.16666666666666
1992,140.30833333333334,2024,121375.0,271367.4524855972,63010.0,4.306736271791735,4.306736271791735,8.390188679245282,76.33024999999999,146.812430149468,115.20344416872199,54.40179366870582,151.20000000000002,155.65
1993,144.475,2024,126500.0,274669.0990367423,62700.0,4.380687384956017,4.380687384956017,7.314615384615385,77.41566666666667,148.59865303370998,116.84163791704765,53.584126434792644,155.74166666666667,162.875
1994,148.225,2024,130425.0,276026.87392477656,63370.0,4.355797284594865,4.355797284594865,8.38076923076923,79.46891666666666,149.33322244902632,119.94055966484001,53.61370663968066,160.525,168.59166666666667
1995,152.38333333333333,2024,133475.0,274773.24376572244,65380.0,4.202710978368345,4.202710978368345,7.934615384615385,80.99116666666667,148.6549963446295,122.23805564953597,53.149622662145916,165.70000000000002,175.875
1996,156.85833333333332,2024,140250.0,280483.4588004038,66340.0,4.22796892976189,4.22796892976189,7.806153846153847,82.80866666666667,151.7442781956359,124.98116548838296,52.79200977527494,171.025,180.4416666666667
1997,160.525,2024,145000.0,283359.19119555625,67720.0,4.184276302356118,4.184276302356118,7.598846153846154,85.31708333333334,153.3000773805595,128.76705953969588,53.14878264029487,176.29166666666666,185.025
1998,163.00833333333333,2024,151925.0,292369.0647973008,70200.0,4.164801492839042,4.164801492839042,6.942641509433962,90.09941666666667,158.1745065970915,135.98492232886377,55.27288993405246,182.10833333333335,187.86666666666667
1999,166.58333333333334,2024,160125.0,301536.2817658829,71980.0,4.189167571073672,4.189167571073672,7.4399999999999995,96.37266666666666,163.13406010484465,145.45299044250723,57.85252626313155,187.25,190.67499999999998
2000,172.1916666666667,2024,167550.0,305241.9948216619,71790.0,4.251873447857109,4.251873447857109,8.053461538461539,104.77758333333333,165.13888689660737,158.13833272752652,60.849392634177015,193.34166666666667,196.09166666666667
2001,177.04166666666666,2024,173100.0,306713.971193222,70610.0,4.3437752611984415,4.3437752611984415,6.967884615384615,113.18633333333332,165.93524042482866,170.8294605720409,63.93203106613321,200.54166666666666,201.85833333333335
2002,179.86666666666667,2024,186025.0,324438.6663500741,70040.0,4.6321911243585685,4.6321911243585685,6.537307692307692,122.28858333333334,175.5244728320352,184.56727159302866,67.98846367679762,208.08333333333334,209.125
2003,184.0,2024,192125.0,327550.32755887683,70080.0,4.673948737997672,4.673948737997672,5.826981132075471,133.74183333333335,177.20791179894817,201.8533914069349,72.68577898550726,213.125,216.3166666666667
2004,188.90833333333333,2024,218150.0,362256.4121487494,69970.0,5.1773104494604745,5.1773104494604745,5.839230769230769,150.46441666666666,195.98424099002028,227.0923916119449,79.64943314658785,218.84166666666667,220.54166666666666
2005,195.26666666666665,2024,236550.0,380020.3208859679,71060.0,5.347879550886123,5.347879550886123,5.866730769230769,171.78150000000002,205.59468832545687,259.2657621908656,87.97277227722773,224.40833333333333,225.63333333333333
